# Libros reales que amplían el catálogo hasta 20 por categoría (los usa scripts/add_catalog.py).
# Formato:  categoría | título | autor | título alternativo para buscar la portada (opcional) | descripción
# Solo son reales el título, el autor y la portada (Open Library); precio y stock los inventa el script.

desarrollo-personal|Hábitos atómicos|James Clear|Atomic Habits|Un método para crear buenos hábitos y dejar los malos a partir de pequeños cambios que se acumulan.
desarrollo-personal|Padre rico, padre pobre|Robert T. Kiyosaki|Rich Dad Poor Dad|Lo que los ricos enseñan a sus hijos sobre el dinero y que los pobres y la clase media no.
desarrollo-personal|Cómo ganar amigos e influir sobre las personas|Dale Carnegie|How to Win Friends and Influence People|Un clásico sobre cómo relacionarse mejor, ganar la simpatía de los demás y convencer sin discutir.
desarrollo-personal|Los 7 hábitos de la gente altamente efectiva|Stephen R. Covey|The 7 Habits of Highly Effective People|Siete principios para lograr eficacia personal y profesional basados en el carácter y la ética.
desarrollo-personal|El poder del ahora|Eckhart Tolle|The Power of Now|Una guía para vivir en el presente y liberarse del pensamiento incesante y la ansiedad.
desarrollo-personal|Piense y hágase rico|Napoleon Hill|Think and Grow Rich|Los principios del éxito personal y financiero recogidos tras entrevistar a cientos de personas de éxito.
desarrollo-personal|El hombre en busca de sentido|Viktor Frankl|Man's Search for Meaning|Un psiquiatra superviviente de los campos nazis explica cómo encontrar sentido incluso en el sufrimiento.
desarrollo-personal|Los cuatro acuerdos|Miguel Ruiz|The Four Agreements|Cuatro principios de la sabiduría tolteca para liberarse de creencias que limitan y vivir con más libertad.
desarrollo-personal|El monje que vendió su Ferrari|Robin Sharma|The Monk Who Sold His Ferrari|Un abogado agotado abandona su carrera y encuentra en el Himalaya lecciones para vivir con plenitud.
desarrollo-personal|Ikigai|Héctor García y Francesc Miralles||Los secretos de los habitantes de Okinawa para una vida larga, feliz y con propósito.
desarrollo-personal|El sutil arte de que (casi todo) te importe una mierda|Mark Manson|The Subtle Art of Not Giving a F*ck|Una propuesta directa para elegir con criterio qué merece tu atención y aceptar los límites de la vida.
desarrollo-personal|Inteligencia emocional|Daniel Goleman|Emotional Intelligence|Por qué la capacidad de gestionar las emociones puede importar tanto como el coeficiente intelectual.
desarrollo-personal|El poder del hábito|Charles Duhigg|The Power of Habit|Cómo se forman los hábitos en personas, empresas y sociedades, y cómo cambiarlos.
desarrollo-personal|¿Quién se ha llevado mi queso?|Spencer Johnson|Who Moved My Cheese?|Una fábula corta sobre cómo afrontar los cambios en el trabajo y en la vida.
desarrollo-personal|Pensar rápido, pensar despacio|Daniel Kahneman|Thinking, Fast and Slow|Los dos sistemas de pensamiento que gobiernan nuestras decisiones y los sesgos que nos hacen equivocarnos.
desarrollo-personal|Grit: el poder de la pasión y la perseverancia|Angela Duckworth|Grit|Por qué la constancia predice el éxito mejor que el talento, y cómo cultivarla.
ciencia-ficcion|Dune|Frank Herbert||En el planeta desértico Arrakis, único productor de la especia más valiosa del universo, el joven Paul Atreides se enfrenta a su destino.
ciencia-ficcion|Fundación|Isaac Asimov|Foundation|Un matemático predice la caída del Imperio Galáctico y crea la Fundación para acortar los milenios de barbarie que vendrán.
ciencia-ficcion|Yo, robot|Isaac Asimov|I, Robot|Nueve relatos que exploran las tres leyes de la robótica y los dilemas de las máquinas que piensan.
ciencia-ficcion|Un mundo feliz|Aldous Huxley|Brave New World|Una sociedad organizada en castas, condicionada desde el nacimiento y anestesiada con placer, vista por un forastero.
ciencia-ficcion|Fahrenheit 451|Ray Bradbury||En un futuro donde los libros están prohibidos, un bombero encargado de quemarlos empieza a cuestionarlo todo.
ciencia-ficcion|Crónicas marcianas|Ray Bradbury|The Martian Chronicles|Relatos sobre la colonización de Marte por los humanos y el choque con sus antiguos habitantes.
ciencia-ficcion|Neuromante|William Gibson|Neuromancer|Un hacker acabado recibe un último encargo en el ciberespacio: la novela que definió el género ciberpunk.
ciencia-ficcion|El juego de Ender|Orson Scott Card|Ender's Game|Un niño superdotado es entrenado en una escuela militar espacial para liderar la defensa de la humanidad contra una raza alienígena.
ciencia-ficcion|Los juegos del hambre|Suzanne Collins|The Hunger Games|En Panem, adolescentes son obligados a combatir hasta la muerte en un espectáculo televisado; Katniss se ofrece voluntaria.
ciencia-ficcion|Solaris|Stanisław Lem||Un psicólogo llega a una estación sobre un planeta oceánico misterioso que materializa los recuerdos de la tripulación.
ciencia-ficcion|La mano izquierda de la oscuridad|Ursula K. Le Guin|The Left Hand of Darkness|Un enviado terrestre visita un mundo helado cuyos habitantes no tienen sexo fijo y descubre otra forma de entender la sociedad.
ciencia-ficcion|La guerra de los mundos|H. G. Wells|The War of the Worlds|Los marcianos invaden Inglaterra con máquinas de guerra devastadoras en la novela que fundó el género de la invasión alienígena.
ciencia-ficcion|La máquina del tiempo|H. G. Wells|The Time Machine|Un inventor viaja al año 802.701 y descubre en qué se ha convertido la humanidad.
ciencia-ficcion|Veinte mil leguas de viaje submarino|Julio Verne|Twenty Thousand Leagues Under the Seas|Un profesor y sus compañeros recorren los océanos a bordo del Nautilus, el submarino del misterioso capitán Nemo.
ciencia-ficcion|Viaje al centro de la Tierra|Julio Verne|Journey to the Center of the Earth|Un profesor y su sobrino descienden por un volcán de Islandia y descubren un mundo subterráneo lleno de criaturas prehistóricas.
ciencia-ficcion|¿Sueñan los androides con ovejas eléctricas?|Philip K. Dick|Do Androids Dream of Electric Sheep?|Un cazarrecompensas persigue androides fugitivos en un mundo devastado; la base de la película Blade Runner.
ciencia-ficcion|El marciano|Andy Weir|The Martian|Un astronauta queda abandonado en Marte y debe sobrevivir con ingenio, ciencia y humor hasta que puedan rescatarlo.
ciencia-ficcion|Hyperion|Dan Simmons||Siete peregrinos viajan hacia el misterioso Ser Cambiante, y cada uno cuenta su historia por el camino.
ciencia-ficcion|Los desposeídos|Ursula K. Le Guin|The Dispossessed|Un físico anarquista viaja del planeta austero Anarres al rico Urras, en una novela sobre libertad y sociedad.
misterio|El código Da Vinci|Dan Brown|The Da Vinci Code|Un simbólogo y una criptógrafa investigan un asesinato en el Louvre y descubren un secreto guardado durante siglos.
misterio|Asesinato en el Orient Express|Agatha Christie|Murder on the Orient Express|Hércules Poirot investiga un crimen en un tren detenido por la nieve en el que todos los pasajeros tienen algo que ocultar.
misterio|Diez negritos|Agatha Christie|And Then There Were None|Diez desconocidos son invitados a una isla y empiezan a morir uno a uno según los versos de una canción infantil.
misterio|Muerte en el Nilo|Agatha Christie|Death on the Nile|Durante un crucero por el Nilo, una joven heredera aparece asesinada y Poirot debe descubrir al culpable entre los pasajeros.
misterio|El asesinato de Roger Ackroyd|Agatha Christie|The Murder of Roger Ackroyd|Poirot, retirado en un pueblo inglés, investiga la muerte de un rico terrateniente en una novela de final célebre.
misterio|Estudio en escarlata|Arthur Conan Doyle|A Study in Scarlet|La primera aventura de Sherlock Holmes y el doctor Watson, que se conocen mientras investigan un asesinato misterioso.
misterio|El sabueso de los Baskerville|Arthur Conan Doyle|The Hound of the Baskervilles|Holmes investiga la leyenda de un perro monstruoso que persigue a una antigua familia en los páramos de Dartmoor.
misterio|La chica del tren|Paula Hawkins|The Girl on the Train|Una mujer que observa desde el tren a una pareja aparentemente perfecta se ve envuelta en una desaparición.
misterio|Perdida|Gillian Flynn|Gone Girl|El día de su aniversario, Amy desaparece y todas las sospechas recaen sobre su marido: un thriller lleno de giros.
misterio|Los hombres que no amaban a las mujeres|Stieg Larsson|The Girl with the Dragon Tattoo|Un periodista y una hacker investigan la desaparición de una joven ocurrida cuarenta años atrás.
misterio|El silencio de los corderos|Thomas Harris|The Silence of the Lambs|Una joven agente del FBI pide ayuda al doctor Hannibal Lecter para atrapar a un asesino en serie.
misterio|El nombre de la rosa|Umberto Eco|The Name of the Rose|Fray Guillermo de Baskerville investiga una serie de muertes en una abadía medieval italiana.
misterio|Ángeles y demonios|Dan Brown|Angels & Demons|Robert Langdon debe evitar que una sociedad secreta destruya el Vaticano en una carrera contra el reloj por Roma.
misterio|El halcón maltés|Dashiell Hammett|The Maltese Falcon|El detective Sam Spade se ve envuelto en una peligrosa persecución tras una estatuilla de valor incalculable.
misterio|El gran sueño|Raymond Chandler|The Big Sleep|Philip Marlowe investiga un caso de chantaje para un general rico en el Los Ángeles de los años treinta.
misterio|Rebeca|Daphne du Maurier|Rebecca|Una joven se casa con un viudo rico y llega a su mansión, donde la sombra de la primera esposa lo domina todo.
misterio|El psicoanalista|John Katzenbach|The Analyst|Un psicoanalista recibe una carta que le da quince días para descubrir la identidad del autor o destruirá su vida.
misterio|Los crímenes de la calle Morgue|Edgar Allan Poe|The Murders in the Rue Morgue|Considerado el primer relato detectivesco moderno: Auguste Dupin resuelve un doble asesinato aparentemente imposible.
poesia|Veinte poemas de amor y una canción desesperada|Pablo Neruda|Veinte poemas de amor y una canción desesperada|El libro de poemas más leído de Neruda, sobre el amor, el deseo y la pérdida.
poesia|Canto general|Pablo Neruda||Un gran poema épico sobre la historia, la naturaleza y los pueblos de América Latina.
poesia|Rimas y leyendas|Gustavo Adolfo Bécquer|Rimas|La obra cumbre del romanticismo español, con poemas breves sobre el amor y la poesía misma.
poesia|Poeta en Nueva York|Federico García Lorca||Poemas escritos durante la estancia de Lorca en Nueva York, entre la angustia y la crítica de la ciudad.
poesia|Romancero gitano|Federico García Lorca||Poemas que mezclan tradición popular y vanguardia en torno al mundo gitano de Andalucía.
poesia|Las flores del mal|Charles Baudelaire|Les Fleurs du mal|El libro que abrió la poesía moderna, sobre la belleza, el spleen y el vicio en la ciudad.
poesia|Hojas de hierba|Walt Whitman|Leaves of Grass|El gran poema de la democracia y del yo estadounidense, escrito en verso libre.
poesia|Piedra de sol|Octavio Paz||Un largo poema circular sobre el tiempo, el amor y la memoria, inspirado en el calendario azteca.
poesia|Trilce|César Vallejo||Un libro de vanguardia que rompe con el lenguaje convencional para expresar soledad, cárcel y desamparo.
poesia|Los heraldos negros|César Vallejo||El primer libro de Vallejo: poemas de dolor, orfandad y duda ante un mundo sin respuestas.
poesia|Campos de Castilla|Antonio Machado||Poemas sobre el paisaje castellano, España y el paso del tiempo, con la lucidez de un gran poeta.
poesia|Platero y yo|Juan Ramón Jiménez||La relación entre un poeta y su burro, contada en breves poemas en prosa llenos de ternura y belleza.
poesia|El cuervo y otros poemas|Edgar Allan Poe|The Raven|Poemas oscuros y musicales de Poe sobre la muerte, la pérdida y la locura.
poesia|Elegías de Duino|Rainer Maria Rilke|Duineser Elegien|Diez elegías sobre la fragilidad, la belleza y el destino del ser humano, una cumbre de la poesía alemana.
poesia|Leche y miel|Rupi Kaur|Milk and Honey|Poemas breves sobre el amor, la pérdida, el trauma y la sanación, con ilustraciones de la autora.
poesia|Inventario uno|Mario Benedetti||Antología de la poesía de Benedetti, cercana, emotiva y cotidiana, sobre el amor, la política y la vida.
poesia|Poesía completa|Alejandra Pizarnik||Los poemas de la argentina Alejandra Pizarnik, breves, intensos y obsesionados con la infancia y el silencio.
poesia|Summa de Maqroll el Gaviero|Álvaro Mutis||La poesía del colombiano Álvaro Mutis reunida en torno a su personaje, el marinero errante Maqroll.
poesia|Poesías|José Asunción Silva||Los poemas del gran modernista colombiano, incluyendo los célebres «Nocturnos».
poesia|Poemas|Emily Dickinson|Poems|Una selección de la obra de la poeta estadounidense, marcada por la brevedad y la mirada íntima.
terror|Drácula|Bram Stoker|Dracula|Jonathan Harker viaja a Transilvania y descubre que su anfitrión, el conde Drácula, es un vampiro que planea llegar a Londres.
terror|Frankenstein|Mary Shelley|Frankenstein; or, The Modern Prometheus|Un científico da vida a una criatura hecha de restos humanos y no puede soportar las consecuencias de su hazaña.
terror|El resplandor|Stephen King|The Shining|Un escritor con problemas es contratado como guardián de un hotel aislado en invierno, donde fuerzas malignas lo acechan.
terror|It (Eso)|Stephen King|It|Un grupo de amigos se enfrenta en la infancia y de nuevo de adultos a una entidad que se alimenta del miedo en Derry.
terror|Cementerio de animales|Stephen King|Pet Sematary|Una familia descubre en un antiguo cementerio el poder de traer a los muertos de vuelta, con terribles consecuencias.
terror|Carrie|Stephen King||Una adolescente marginada y con poderes telequinéticos se venga de quienes la humillan en la noche del baile.
terror|Misery|Stephen King||Un escritor accidentado es rescatado por su fan número uno, que no acepta que haya matado a su personaje favorito.
terror|El exorcista|William Peter Blatty|The Exorcist|Una niña es poseída por una entidad demoníaca, y dos sacerdotes intentan salvarla en la novela que definió el terror moderno.
terror|El bebé de Rosemary|Ira Levin|Rosemary's Baby|Una joven embarazada sospecha que sus vecinos y su marido esconden un siniestro secreto sobre su hijo.
terror|Psicosis|Robert Bloch|Psycho|Una mujer que huye con dinero robado llega al motel Bates, regentado por un joven inquietante y su dominante madre.
terror|El extraño caso del doctor Jekyll y Mr. Hyde|Robert Louis Stevenson|Strange Case of Dr Jekyll and Mr Hyde|Un respetable doctor crea una poción que libera su lado oscuro y lo convierte en un hombre distinto.
terror|Narraciones extraordinarias|Edgar Allan Poe|Tales of Mystery and Imagination|Cuentos como «El corazón delator» y «El gato negro», maestros del terror psicológico y lo macabro.
terror|La llamada de Cthulhu|H. P. Lovecraft|The Call of Cthulhu|Un relato fundamental del terror cósmico: la existencia de un ser antiguo que duerme bajo el océano.
terror|En las montañas de la locura|H. P. Lovecraft|At the Mountains of Madness|Una expedición a la Antártida descubre las ruinas de una civilización anterior a la humanidad.
terror|La maldición de Hill House|Shirley Jackson|The Haunting of Hill House|Cuatro personas se instalan en una casa con fama de embrujada para estudiar sus fenómenos y son perturbadas por ella.
terror|Siempre hemos vivido en el castillo|Shirley Jackson|We Have Always Lived in the Castle|Dos hermanas viven aisladas con su tío tras una tragedia familiar, hasta que la llegada de un primo lo rompe todo.
terror|Otra vuelta de tuerca|Henry James|The Turn of the Screw|Una institutriz cree que dos niños a su cargo están acosados por los fantasmas de dos antiguos empleados.
terror|Soy leyenda|Richard Matheson|I Am Legend|El último hombre vivo entre criaturas parecidas a vampiros intenta sobrevivir y entender qué ha pasado con el mundo.
terror|El misterio de Salem's Lot|Stephen King|'Salem's Lot|Un escritor regresa a su pueblo natal y descubre que sus habitantes están siendo convertidos en vampiros.
terror|Coraline|Neil Gaiman||Una niña descubre una puerta hacia un mundo idéntico al suyo, pero con una «otra madre» de ojos de botón que no quiere dejarla ir.
romance|Persuasión|Jane Austen|Persuasion|Anne Elliot se reencuentra, ocho años después, con el hombre al que rechazó por consejo de otros.
romance|Emma|Jane Austen||Una joven casamentera cree saber más que nadie sobre el amor, hasta que descubre sus propios sentimientos.
romance|Sentido y sensibilidad|Jane Austen|Sense and Sensibility|Las hermanas Dashwood, la prudente Elinor y la apasionada Marianne, afrontan el amor y la pérdida en la Inglaterra del siglo XIX.
romance|Yo antes de ti|Jojo Moyes|Me Before You|Louisa, una joven sin rumbo, empieza a cuidar a Will, un hombre tetrapléjico que ha perdido las ganas de vivir.
romance|Bajo la misma estrella|John Green|The Fault in Our Stars|Hazel y Gus, dos adolescentes con cáncer, se conocen en un grupo de apoyo y viven una historia de amor inolvidable.
romance|Como agua para chocolate|Laura Esquivel|Like Water for Chocolate|Tita, condenada a cuidar a su madre, expresa su amor prohibido a través de las recetas que cocina.
romance|Diario de una pasión|Nicholas Sparks|The Notebook|Un anciano lee a una mujer con demencia la historia de amor de Noah y Allie, un amor a prueba del tiempo.
romance|Un paseo para recordar|Nicholas Sparks|A Walk to Remember|Un adolescente rebelde se enamora de la hija del pastor y descubre lo que es el amor verdadero.
romance|Forastera|Diana Gabaldon|Outlander|Claire, una enfermera de 1945, cae a las Highlands de 1743 y se enamora del guerrero Jamie Fraser.
romance|Romeo y Julieta|William Shakespeare|Romeo and Juliet|La tragedia de dos jóvenes de familias enemistadas que se enamoran en Verona.
romance|Lo que el viento se llevó|Margaret Mitchell|Gone with the Wind|Scarlett O'Hara sobrevive a la Guerra de Secesión y lucha por su amor por Ashley Wilkes y su relación con Rhett Butler.
romance|Los puentes de Madison County|Robert James Waller|The Bridges of Madison County|Una ama de casa de Iowa vive cuatro días de amor intenso con un fotógrafo de paso.
romance|Los siete maridos de Evelyn Hugo|Taylor Jenkins Reid|The Seven Husbands of Evelyn Hugo|Una estrella de Hollywood retirada cuenta a una joven periodista los secretos de su vida, sus matrimonios y su gran amor.
romance|Romper el círculo|Colleen Hoover|It Ends with Us|Lily se enamora de un neurocirujano brillante, pero su relación reabre heridas del pasado.
romance|Culpa mía|Mercedes Ron||Noah se muda con su madre y su nuevo padrastro, y se ve envuelta en una atracción prohibida con su hermanastro Nick.
romance|Bridgerton: El duque y yo|Julia Quinn|The Duke and I|Daphne Bridgerton y el duque de Hastings fingen un cortejo para librarse de la presión social, hasta que empiezan a sentir de verdad.
romance|Crepúsculo|Stephenie Meyer|Twilight|Bella se muda a Forks y se enamora de Edward Cullen, un chico misterioso que esconde un secreto: es un vampiro.
romance|A todos los chicos de los que me enamoré|Jenny Han|To All the Boys I've Loved Before|Las cartas secretas de amor de Lara Jean se envían por error a sus destinatarios y su vida amorosa se complica.
romance|Hopeless|Colleen Hoover||Sky Davis conoce a Dean Holder y descubre que su pasado guarda secretos que cambiarán su forma de verse a sí misma.
ciencia|Breve historia del tiempo|Stephen Hawking|A Brief History of Time|Del Big Bang a los agujeros negros: una introducción a la cosmología para lectores sin formación científica.
ciencia|Cosmos|Carl Sagan||Un viaje por el universo, desde el origen de la vida hasta las estrellas, con la mirada curiosa de Sagan.
ciencia|El gen egoísta|Richard Dawkins|The Selfish Gene|Una visión de la evolución centrada en los genes, que popularizó la idea del «meme».
ciencia|El origen de las especies|Charles Darwin|On the Origin of Species|La obra que expuso la teoría de la evolución por selección natural y cambió la biología.
ciencia|Astrofísica para gente con prisa|Neil deGrasse Tyson|Astrophysics for People in a Hurry|Una introducción breve y amena al universo, la materia y las leyes de la física.
ciencia|Una breve historia de casi todo|Bill Bryson|A Short History of Nearly Everything|Un recorrido humorístico y riguroso por lo que la ciencia sabe sobre el universo, la Tierra y la vida.
ciencia|El universo elegante|Brian Greene|The Elegant Universe|La teoría de cuerdas explicada para el gran público: la búsqueda de una teoría unificada del cosmos.
ciencia|El hombre que confundió a su mujer con un sombrero|Oliver Sacks|The Man Who Mistook His Wife for a Hat|Casos clínicos de un neurólogo sobre pacientes con trastornos cerebrales extraordinarios.
ciencia|La doble hélice|James D. Watson|The Double Helix|El relato en primera persona del descubrimiento de la estructura del ADN.
ciencia|Los dragones del Edén|Carl Sagan|The Dragons of Eden|Especulaciones sobre la evolución de la inteligencia humana y el cerebro.
ciencia|El mundo y sus demonios|Carl Sagan|The Demon-Haunted World|Un alegato a favor del pensamiento crítico y contra la superstición y la pseudociencia.
ciencia|El emperador de todos los males|Siddhartha Mukherjee|The Emperor of All Maladies|Una biografía del cáncer, de sus primeros registros a la ciencia actual.
